standardized_name
Dynacort 6mg Tablets 30s
Malaria Rapid Test Kit 1s
Propranolol 40mg Tablets 100s
Omron M1 Basic BP Machine 1s
Medopress 250mg Tablets 100s
On Call Plus Glucose Monitor 1s
Quitipin 200mg Tablets 30s
Sensodyne Repair & Protect Toothpaste 75ml
Pantocid 40mg Tablets 50s
Hand Sanitizer 500ml
Avodone Mouth Wash 200ml
Surgical Spirit 70% 5 L
BioGaia Protectis Lozenges Lemon 10s
Irovel H Tablets 30s
Bispanol 10mg Tablets 100s
Don A 10mg Tablets 100s
Infacol 40mg/ml Drops 55ml
Ginsomin Capsules 30s
Glycerine Infant 1g Suppositories 12s
Gaviscon Infant Sachets 30s
Colgate Maximum Cavity Protection 70 g
Emami Mentho Plus Balm 9ml
Fungiter Terbinafine Cream 15 g
Keppra 500mg Tablets 50s
Monteru Adult 10/10mg Tablets 10s
Lamitor 100mg Tablets 60s
Ryaltris Nasal Spray 120 doses
Elocom Ointment 15 g
Hemsamic 500mg Capsules 20s
Infa-V Vaginal Pessaries 8s
Trexglo 2.5mg Tablets 30s
Ketosteril Tablets 100s
Duplazin Syrup 100ml
Flusort 50mcg Nasal Spray 120 doses
Aerocort 50mcg/100mcg Inhaler 200 doses
Prostaflo-F Capsules 30s
Bennetts Saline Nasal Spray 30ml
Pantocid 20mg Tablets 50s
Lysodol P Tablets 30s
Unitrexate 2.5mg Tablets 100s
Dapiga 10/1000mg Tablets 30s
Cypro-B Plus Tablets 30s
Lydia Contraceptive Injection 1 vial
Teltas 80mg Tablets 30s
Glucose Powder Sachets 10 g 1s
Duphaston 10mg Tablets 20s
Oilatum Cream Tube 150 g
Aerius 0.5mg/ml Syrup 60ml
Otrivin Paediatric Drops 10ml
Ebastine Syrup 60ml
Erostin 20mg Tablets 10s
Irnazine 5mg Tablets 10s
Candizole 200mg Tablets 1s
Phloro-G 80mg Tablets 10s
Polygynax Vaginal Pessaries 6s
Emglyza 10mg Tablets 30s
Pred Forte Eye Drops 5ml
Euthyrox 25 mcg Tablets 30s
Neurocare Capsules 30s
Sterile Bandage 4 Inch 1s
Budecort 100 mcg Inhaler 200 doses
Pulmocef 250mg Tablets 10s
Loratin Fast 10mg Tablets 100s
Kofed Adult Cough Syrup 100ml
Safecal Tablets 30s
Lipecos 10mg Tablets 28s
Pepsol Capsules 30s
Univir 800mg Tablets 10s
Enzoflam Tablets 10s
Labetalol 100mg Tablets 100s
Griseben  125mg Tablets 100s
Epanutin 100mg Tablets 84s
Twynsta 40/10mg Tablets 28s
Neurocare Plus Tablets 30s
Oatveen Moisturizing Bar 100 g
Tobradex Eye Drops 5ml
Lexotanil 1.5mg Tablets 30s
KN95 Face Mask 1s
Tagera Forte 1 g Tablets 2s
Omega-3 1000mg Capsules 30s
Amlodawa 5mg Tablets 30s
Flamox 250mg/5ml Syrup 100ml
Plavix 75mg Tablets 28s
Lyrica 75mg Tablets 28s
Povidone Iodine 10% Solution 1 L
Razid M 20/15mg Tablets 20s
Febo-G 40mg Tablets 20s
Lipitor 40mg Tablets 30s
